Date,NASDAQ_Close,NASDAQ_Volume,VIX,Dist_MA50,Dist_MA200,Dist_52w_High,RSI,Dist_Local_Min,VIX_Ratio,VIX_Trend_20d,SP500_Trend_20d,Realized_Vol_10d,label_daily,Return_1w,Return_4w,Volume_Ratio,label,Phase,event_name,category,week_relative
1999-01-01,2192.68994140625,3579460000,23.360000133514404,0.12889159333540054,0.19994025401758272,0.0,72.61534549130828,0.1219650676760606,0.8015149021894525,-0.23422555636642628,11.821646737693815,0.22764537647627936,1.0,0.013707514335518534,0.0946154595701969,0.892406142201316,1,1,Dotcom Crash,Grey Swan,0
1999-01-08,2344.409912109375,5625250000,24.32400016784668,0.1715751157279151,0.2744869993094414,0.0,89.20601614969858,0.1919192746680648,0.8751854124492635,-0.26184809175649104,18.17694119331521,0.19659009044232847,1.0,0.0691935361393694,0.15527437622517848,1.3468321819926365,1,1,Dotcom Crash,Grey Swan,1
1999-01-15,2348.199951171875,5457130000,29.177999877929686,0.14161353275247116,0.2679553977355851,-0.01526054180278012,71.5132074979307,0.14889325477133913,1.0869531068334914,0.0063308434737351146,15.226716602296705,0.24946783489452323,1.0,0.001616628151469346,0.12561959987730598,1.2639234252504785,1,1,Dotcom Crash,Grey Swan,2
1999-01-22,2338.8798828125,4437070000,30.177500247955322,0.11402138768283779,0.2555633655046545,-0.031716176730851,64.19457092520705,0.08129292133964017,1.133206845290875,0.48821616853986416,12.62346962376639,0.32132167682310947,0.0,-0.003969026723948166,0.08129292133964006,0.994255726067486,0,1,Dotcom Crash,Grey Swan,3
1999-01-29,2505.889892578125,5006610000,28.889999771118163,0.1614325429693295,0.33434954392435373,0.0,63.85427645965679,0.14283823045724775,1.0889632662374609,0.44087969041408404,11.500483692140484,0.33250422235805926,0.0,0.07140597984228059,0.14283823045724775,1.123117966295985,0,1,Dotcom Crash,Grey Swan,4
1999-02-05,2373.6201171875,5090760000,28.571999740600585,0.07375824237885445,0.25450844771841047,-0.054368554882350324,52.25315995507573,0.04251545836816035,1.075494411413129,0.15843907951412295,7.675263782013592,0.30672976485194475,0.0,-0.052783554370197217,0.012459512701788134,1.115368035673303,0,1,Dotcom Crash,Grey Swan,5
1999-02-12,2321.889892578125,4506500000,29.852000427246093,0.03323282478757011,0.21911838169436063,-0.07497746643454363,46.59435727223154,0.0053647510621887854,1.1173659189238034,-0.04274735730393577,-1.1877639655780707,0.36468423505846903,0.0,-0.021793809478944826,-0.011204351903942422,0.9749891959341014,0,1,Dotcom Crash,Grey Swan,6
1999-02-19,2283.60009765625,3395410000,30.012499809265137,0.00622146629791298,0.19393232898099524,-0.09023181730688708,31.92031666188116,0.015425333562755827,1.1169442845793474,0.0028214379360792614,-8.993574328888704,0.40574616765680205,1.0,-0.016490788406576695,-0.02363515354613943,0.7321996032690543,1,2,Dotcom Crash,Grey Swan,7
1999-02-26,2288.030029296875,4446580000,27.091999816894532,-0.005630272339430279,0.18876478810315608,-0.08846696764591426,42.80961204224928,0.017395146411537273,0.9952455206993077,-0.007356386686626958,-10.215553593456333,0.3776142320380246,1.0,0.0019398894075943751,-0.08693912048031371,0.9369774670613779,1,2,Dotcom Crash,Grey Swan,8
1999-03-05,2337.110107421875,4277830000,27.476000213623045,0.005566239331681749,0.20738441718511852,-0.06891385345221421,51.85558013444041,0.039219087806755336,1.000460458919776,-0.12004211110280036,-3.3895955709586825,0.24496372741480738,0.0,0.021450801561412547,-0.015381572434971513,0.9345879841793178,0,2,Dotcom Crash,Grey Swan,9
